d,pred_units
2026-02-01,23.007471084594727
2026-02-02,23.755901336669922
2026-02-03,31.81357192993164
2026-02-04,20.61864471435547
2026-02-05,29.771881103515625
2026-02-06,26.825366973876953
2026-02-07,28.18922996520996
2026-02-08,27.345727920532227
2026-02-09,22.361921310424805
2026-02-10,21.575389862060547
2026-02-11,23.23931121826172
2026-02-12,28.728300094604492
2026-02-13,34.844520568847656
2026-02-14,28.68653106689453
2026-02-15,33.522071838378906
2026-02-16,23.66280174255371
2026-02-17,21.94733238220215
2026-02-18,23.2910099029541
2026-02-19,26.867036819458008
2026-02-20,23.147300720214844
2026-02-21,24.390750885009766
2026-02-22,25.26808738708496
2026-02-23,26.443815231323242
2026-02-24,24.423839569091797
2026-02-25,27.276987075805664
2026-02-26,22.32070541381836
2026-02-27,26.263628005981445
2026-02-28,27.239595413208008
